movie,director,m_year,critic,crit_org,crit_cn
No Country For Old Men,Joel and Ethan Coen,2007,Antonio Martínez,El Mercurio,Chile
Spirited Away,Hayao Miyazaki,2001,Antonio Martínez,El Mercurio,Chile
Zodiac,David Fincher,2007,Todd McCarthy,The Hollywood Reporter,US
Mulholland Drive,David Lynch,2001,Todd McCarthy,The Hollywood Reporter,US
Children of Men,Alfonso Cuarón,2006,Todd McCarthy,The Hollywood Reporter,US
Fantastic Mr Fox,Wes Anderson,2009,Todd McCarthy,The Hollywood Reporter,US
The New World,Terrence Malick,2005,Joe McElhaney,Hunter College,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Drew McWeeny,HitFix,US
Holy Motors,Leos Carax,2012,Drew McWeeny,HitFix,US
Inherent Vice,Paul Thomas Anderson,2014,Kim Morgan,Sight & Sound/Criterion,US
Mulholland Drive,David Lynch,2001,Kim Morgan,Sight & Sound/Criterion,US
There Will Be Blood,Paul Thomas Anderson,2007,Kim Morgan,Sight & Sound/Criterion,US
A Serious Man,Joel and Ethan Coen,2009,Kim Morgan,Sight & Sound/Criterion,US
Mulholland Drive,David Lynch,2001,Kate Muir,The Times,UK
The Tree of Life,Terrence Malick,2011,Kate Muir,The Times,UK
Boyhood,Richard Linklater,2014,Kate Muir,The Times,UK
Amour,Michael Haneke,2012,Kate Muir,The Times,UK
Before Midnight,Richard Linklater,2013,Chris Nashawaty,Entertainment Weekly,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Chris Nashawaty,Entertainment Weekly,US
The Social Network,David Fincher,2010,Chris Nashawaty,Entertainment Weekly,US
The Grand Budapest Hotel,Wes Anderson,2014,Chris Nashawaty,Entertainment Weekly,US
Yi Yi: A One and a Two,Edward Yang,2000,Farran Smith Nehme,The New York Post/Film Comment,US
A Separation,Asghar Farhadi,2011,Farran Smith Nehme,The New York Post/Film Comment,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Farran Smith Nehme,The New York Post/Film Comment,US
About Elly,Asghar Farhadi,2009,Farran Smith Nehme,The New York Post/Film Comment,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Joe Neumaier,WOR-710AM New York,US
There Will Be Blood,Paul Thomas Anderson,2007,Joe Neumaier,WOR-710AM New York,US
Boyhood,Richard Linklater,2014,Joe Neumaier,WOR-710AM New York,US
Pan's Labyrinth,Guillermo Del Toro,2006,Chris Newbould,The National,UAE
Boyhood,Richard Linklater,2014,Chris Newbould,The National,UAE
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Amy Nicholson,MTV News,US
The Grand Budapest Hotel,Wes Anderson,2014,Amy Nicholson,MTV News,US
The Dark Knight,Christopher Nolan,2008,Amy Nicholson,MTV News,US
Children of Men,Alfonso Cuarón,2006,Amy Nicholson,MTV News,US
Memento,Christopher Nolan,2000,Ong Soh Chin,Freelance,Singapore
Boyhood,Richard Linklater,2014,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland
The White Ribbon,Michael Haneke,2009,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland
A Separation,Asghar Farhadi,2011,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland
Spirited Away,Hayao Miyazaki,2001,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland
Caché,Michael Haneke,2005,Matthew Patches,Thrillist,US
Spirited Away,Hayao Miyazaki,2001,Matthew Patches,Thrillist,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Matthew Patches,Thrillist,US
The Tree of Life,Terrence Malick,2011,Matthew Patches,Thrillist,US
The Grand Budapest Hotel,Wes Anderson,2014,Matthew Patches,Thrillist,US
No Country For Old Men,Joel and Ethan Coen,2007,Matthew Patches,Thrillist,US
There Will Be Blood,Paul Thomas Anderson,2007,Steve Persall,Tampa Bay Times,US
Pan's Labyrinth,Guillermo Del Toro,2006,Steve Persall,Tampa Bay Times,US
Children of Men,Alfonso Cuarón,2006,Steve Persall,Tampa Bay Times,US
The Dark Knight,Christopher Nolan,2008,Steve Persall,Tampa Bay Times,US
A Serious Man,Joel and Ethan Coen,2009,Steve Persall,Tampa Bay Times,US
"O Brother, Where Art Thou?",Joel and Ethan Coen,2000,Steve Persall,Tampa Bay Times,US
There Will Be Blood,Paul Thomas Anderson,2007,Michael Phillips,Chicago Tribune,US
Mulholland Drive,David Lynch,2001,Michael Phillips,Chicago Tribune,US
Y Tu Mamá También,Alfonso Cuarón,2001,Michael Phillips,Chicago Tribune,US
Boyhood,Richard Linklater,2014,Michael Phillips,Chicago Tribune,US
The Grand Budapest Hotel,Wes Anderson,2014,Michael Phillips,Chicago Tribune,US
Zodiac,David Fincher,2007,Michael Phillips,Chicago Tribune,US
Yi Yi: A One and a Two,Edward Yang,2000,Keith Phipps,Uproxx,US
Y Tu Mamá También,Alfonso Cuarón,2001,Keith Phipps,Uproxx,US
Mulholland Drive,David Lynch,2001,Keith Phipps,Uproxx,US
Waking Life,Richard Linklater,2001,Keith Phipps,Uproxx,US
In the Mood for Love,Wong Kar-wai,2000,Keith Phipps,Uproxx,US
Moonrise Kingdom,Wes Anderson,2012,Keith Phipps,Uproxx,US
Spirited Away,Hayao Miyazaki,2001,Hannah Pilarczyk,Der Spiegel,Germany
The Master,Paul Thomas Anderson,2012,Hannah Pilarczyk,Der Spiegel,Germany
Caché,Michael Haneke,2005,Hannah Pilarczyk,Der Spiegel,Germany
The White Ribbon,Michael Haneke,2009,Agnès C Poirier,Marianne,France
Boyhood,Richard Linklater,2014,Claudia Puig,Freelance film critic,US
Pan's Labyrinth,Guillermo Del Toro,2006,Claudia Puig,Freelance film critic,US
A Separation,Asghar Farhadi,2011,Zakir Hossein Raju,Independent University,Bangladesh
In the Mood for Love,Wong Kar-wai,2000,Zakir Hossein Raju,Independent University,Bangladesh
Spirited Away,Hayao Miyazaki,2001,Zakir Hossein Raju,Independent University,Bangladesh
Holy Motors,Leos Carax,2012,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba
The Tree of Life,Terrence Malick,2011,Jordan Raup,The Film Stage,US
In the Mood for Love,Wong Kar-wai,2000,Jordan Raup,The Film Stage,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Jordan Raup,The Film Stage,US
Zodiac,David Fincher,2007,Jordan Raup,The Film Stage,US
Inherent Vice,Paul Thomas Anderson,2014,Jordan Raup,The Film Stage,US
Children of Men,Alfonso Cuarón,2006,Jordan Raup,The Film Stage,US
Mulholland Drive,David Lynch,2001,Isabelle Regnier,Le Monde,France
Pan's Labyrinth,Guillermo Del Toro,2006,Mauricio Reina,El Tiempo,Colombia
There Will Be Blood,Paul Thomas Anderson,2007,Mauricio Reina,El Tiempo,Colombia
A Separation,Asghar Farhadi,2011,Mauricio Reina,El Tiempo,Colombia
Inside Llewyn Davis,Joel and Ethan Coen,2013,Scott Renshaw,Salt Lake City Weekly,US
The Master,Paul Thomas Anderson,2012,Scott Renshaw,Salt Lake City Weekly,US
In the Mood for Love,Wong Kar-wai,2000,Scott Renshaw,Salt Lake City Weekly,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Scott Renshaw,Salt Lake City Weekly,US
Holy Motors,Leos Carax,2012,Scott Renshaw,Salt Lake City Weekly,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Katey Rich,Vanity Fair,US
In the Mood for Love,Wong Kar-wai,2000,Katey Rich,Vanity Fair,US
There Will Be Blood,Paul Thomas Anderson,2007,Katey Rich,Vanity Fair,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Katey Rich,Vanity Fair,US
The New World,Terrence Malick,2005,Carrie Rickey,Freelance film critic,US
Pan's Labyrinth,Guillermo Del Toro,2006,Carrie Rickey,Freelance film critic,US
The Social Network,David Fincher,2010,Carrie Rickey,Freelance film critic,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Sam Rigby,BBC Culture,UK
The Dark Knight,Christopher Nolan,2008,Sam Rigby,BBC Culture,UK
Inside Llewyn Davis,Joel and Ethan Coen,2013,Sam Rigby,BBC Culture,UK
In the Mood for Love,Wong Kar-wai,2000,Antonio Mazón Robau,Cinemateca de Cuba,Cuba
Mulholland Drive,David Lynch,2001,Tim Robey,The Daily Telegraph,UK
There Will Be Blood,Paul Thomas Anderson,2007,Tim Robey,The Daily Telegraph,UK
The Prestige,Christopher Nolan,2006,Tasha Robinson,The Verge,US
Spirited Away,Hayao Miyazaki,2001,Tasha Robinson,The Verge,US
Memento,Christopher Nolan,2000,Tasha Robinson,The Verge,US
Mulholland Drive,David Lynch,2001,Rene Rodriguez,The Miami Herald,US
In the Mood for Love,Wong Kar-wai,2000,Rene Rodriguez,The Miami Herald,US
No Country For Old Men,Joel and Ethan Coen,2007,Rene Rodriguez,The Miami Herald,US
There Will Be Blood,Paul Thomas Anderson,2007,Rene Rodriguez,The Miami Herald,US
Spirited Away,Hayao Miyazaki,2001,Rene Rodriguez,The Miami Herald,US
Yi Yi: A One and a Two,Edward Yang,2000,Rene Rodriguez,The Miami Herald,US
A Separation,Asghar Farhadi,2011,Rene Rodriguez,The Miami Herald,US
The Royal Tenenbaums,Wes Anderson,2001,Jonathan Romney,Freelance film critic,UK
Zodiac,David Fincher,2007,Alyssa Rosenberg,The Washington Post,US
Spirited Away,Hayao Miyazaki,2001,Alyssa Rosenberg,The Washington Post,US
2046,Wong Kar-wai,2004,Alyssa Rosenberg,The Washington Post,US
Moonrise Kingdom,Wes Anderson,2012,Alyssa Rosenberg,The Washington Post,US
Boyhood,Richard Linklater,2014,Alyssa Rosenberg,The Washington Post,US
About Elly,Asghar Farhadi,2009,E Nina Rothe,The Huffington Post,Italy
Zodiac,David Fincher,2007,Joshua Rothkopf,Time Out New York,US
Mulholland Drive,David Lynch,2001,Joshua Rothkopf,Time Out New York,US
In the Mood for Love,Wong Kar-wai,2000,Joshua Rothkopf,Time Out New York,US
Yi Yi: A One and a Two,Edward Yang,2000,Joshua Rothkopf,Time Out New York,US
Boyhood,Richard Linklater,2014,Joshua Rothkopf,Time Out New York,US
A Serious Man,Joel and Ethan Coen,2009,Joshua Rothkopf,Time Out New York,US
The Tree of Life,Terrence Malick,2011,Mohammed Rouda,Asharq Al-Awsat,Lebanon
Children of Men,Alfonso Cuarón,2006,Mohammed Rouda,Asharq Al-Awsat,Lebanon
There Will Be Blood,Paul Thomas Anderson,2007,Mohammed Rouda,Asharq Al-Awsat,Lebanon
Inside Llewyn Davis,Joel and Ethan Coen,2013,Mike Ryan,Uproxx,US
Punch-Drunk Love,Paul Thomas Anderson,2002,Mike Ryan,Uproxx,US
Zodiac,David Fincher,2007,Mike Ryan,Uproxx,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Mike Ryan,Uproxx,US
The Social Network,David Fincher,2010,Mike Ryan,Uproxx,US
In the Mood for Love,Wong Kar-wai,2000,Alaka Sahani,The Indian Express,India
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Alaka Sahani,The Indian Express,India
Inception,Christopher Nolan,2010,Alaka Sahani,The Indian Express,India
Caché,Michael Haneke,2005,Eric Sasono,Freelance film critic,Indonesia
Spirited Away,Hayao Miyazaki,2001,Eric Sasono,Freelance film critic,Indonesia
A Separation,Asghar Farhadi,2011,Eric Sasono,Freelance film critic,Indonesia
The New World,Terrence Malick,2005,Nick Schager,Variety,US
Mulholland Drive,David Lynch,2001,Nick Schager,Variety,US
Zodiac,David Fincher,2007,Nick Schager,Variety,US
There Will Be Blood,Paul Thomas Anderson,2007,Nick Schager,Variety,US
In the Mood for Love,Wong Kar-wai,2000,Nick Schager,Variety,US
The Tree of Life,Terrence Malick,2011,Nick Schager,Variety,US
In the Mood for Love,Wong Kar-wai,2000,Missy Schwartz,Freelance film critic,US
No Country For Old Men,Joel and Ethan Coen,2007,Missy Schwartz,Freelance film critic,US
The Tree of Life,Terrence Malick,2011,Matt Zoller Seitz,New York Magazine,US
Knight of Cups,Terrence Malick,2015,Matt Zoller Seitz,New York Magazine,US
Inherent Vice,Paul Thomas Anderson,2014,Matt Zoller Seitz,New York Magazine,US
The Grand Budapest Hotel,Wes Anderson,2014,Matt Zoller Seitz,New York Magazine,US
A Separation,Asghar Farhadi,2011,Matt Zoller Seitz,New York Magazine,US
Boyhood,Richard Linklater,2014,Avner Shavit,Walla,Israel
Mulholland Drive,David Lynch,2001,Avner Shavit,Walla,Israel
There Will Be Blood,Paul Thomas Anderson,2007,Catherine Shoard,The Guardian,UK
Before Sunset,Richard Linklater,2004,Catherine Shoard,The Guardian,UK
Yi Yi: A One and a Two,Edward Yang,2000,Yael Shuv,Time Out Tel Aviv,Israel
Spirited Away,Hayao Miyazaki,2001,Yael Shuv,Time Out Tel Aviv,Israel
There Will Be Blood,Paul Thomas Anderson,2007,Yael Shuv,Time Out Tel Aviv,Israel
The Grand Budapest Hotel,Wes Anderson,2014,Yael Shuv,Time Out Tel Aviv,Israel
Memento,Christopher Nolan,2000,Yael Shuv,Time Out Tel Aviv,Israel
Boyhood,Richard Linklater,2014,Matt Singer,ScreenCrush,US
Holy Motors,Leos Carax,2012,Matt Singer,ScreenCrush,US
Mulholland Drive,David Lynch,2001,Matt Singer,ScreenCrush,US
Memento,Christopher Nolan,2000,Matt Singer,ScreenCrush,US
The Master,Paul Thomas Anderson,2012,Matt Singer,ScreenCrush,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Matt Singer,ScreenCrush,US
Caché,Michael Haneke,2005,Justine A Smith,Freelance film critic,Canada
Zodiac,David Fincher,2007,Justine A Smith,Freelance film critic,Canada
Amour,Michael Haneke,2012,Justine A Smith,Freelance film critic,Canada
The Master,Paul Thomas Anderson,2012,Justine A Smith,Freelance film critic,Canada
Inside Llewyn Davis,Joel and Ethan Coen,2013,Justine A Smith,Freelance film critic,Canada
Memento,Christopher Nolan,2000,Eric D Snider,Freelance film critic,US
Holy Motors,Leos Carax,2012,Eric D Snider,Freelance film critic,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Eric D Snider,Freelance film critic,US
Mulholland Drive,David Lynch,2001,Soh Jae Yong,Seoul Institute of the Arts,South Korea
No Country For Old Men,Joel and Ethan Coen,2007,Soh Jae Yong,Seoul Institute of the Arts,South Korea
Memento,Christopher Nolan,2000,Soh Jae Yong,Seoul Institute of the Arts,South Korea
In the Mood for Love,Wong Kar-wai,2000,Soh Jae Yong,Seoul Institute of the Arts,South Korea
Children of Men,Alfonso Cuarón,2006,Soh Jae Yong,Seoul Institute of the Arts,South Korea
Mulholland Drive,David Lynch,2001,Fernanda Solórzano,Letras Libres Magazine,Mexico
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Fernanda Solórzano,Letras Libres Magazine,Mexico
The White Ribbon,Michael Haneke,2009,Fernanda Solórzano,Letras Libres Magazine,Mexico
Amour,Michael Haneke,2012,David Stratton,The Australian,Australia
A Separation,Asghar Farhadi,2011,David Stratton,The Australian,Australia
No Country For Old Men,Joel and Ethan Coen,2007,David Stratton,The Australian,Australia
The New World,Terrence Malick,2005,Cédric Succivalli,International Cinephile Society,Italy
The White Ribbon,Michael Haneke,2009,Alin Tasciyan,Star,Turkey
In the Mood for Love,Wong Kar-wai,2000,Alin Tasciyan,Star,Turkey
Spirited Away,Hayao Miyazaki,2001,Alin Tasciyan,Star,Turkey
Mulholland Drive,David Lynch,2001,Charles Taylor,The Yale Review,US
Fantastic Mr Fox,Wes Anderson,2009,Charles Taylor,The Yale Review,US
The Master,Paul Thomas Anderson,2012,Ella Taylor,NPR.org,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Ella Taylor,NPR.org,US
The Grand Budapest Hotel,Wes Anderson,2014,Stephen Teo,Nanyang Techological University,Singapore
Inception,Christopher Nolan,2010,Stephen Teo,Nanyang Techological University,Singapore
No Country For Old Men,Joel and Ethan Coen,2007,Stephen Teo,Nanyang Techological University,Singapore
Spirited Away,Hayao Miyazaki,2001,Stephen Teo,Nanyang Techological University,Singapore
In the Mood for Love,Wong Kar-wai,2000,Stephen Teo,Nanyang Techological University,Singapore
Holy Motors,Leos Carax,2012,Kristin Thompson,University of Wisconsin-Madison,US
In the Mood for Love,Wong Kar-wai,2000,Kristin Thompson,University of Wisconsin-Madison,US
Gravity,Alfonso Cuarón,2013,Kristin Thompson,University of Wisconsin-Madison,US
There Will Be Blood,Paul Thomas Anderson,2007,Kristin Thompson,University of Wisconsin-Madison,US
About Elly,Asghar Farhadi,2009,Kristin Thompson,University of Wisconsin-Madison,US
Moonrise Kingdom,Wes Anderson,2012,Kristin Thompson,University of Wisconsin-Madison,US
Pan's Labyrinth,Guillermo Del Toro,2006,Kristin Thompson,University of Wisconsin-Madison,US
The Tree of Life,Terrence Malick,2011,Scott Tobias,Freelance film critic,US
Boyhood,Richard Linklater,2014,Scott Tobias,Freelance film critic,US
Zodiac,David Fincher,2007,Scott Tobias,Freelance film critic,US
Yi Yi: A One and a Two,Edward Yang,2000,Scott Tobias,Freelance film critic,US
A Separation,Asghar Farhadi,2011,Scott Tobias,Freelance film critic,US
There Will Be Blood,Paul Thomas Anderson,2007,Scott Tobias,Freelance film critic,US
Mulholland Drive,David Lynch,2001,Peter Travers,Rolling Stone,US
There Will Be Blood,Paul Thomas Anderson,2007,Peter Travers,Rolling Stone,US
No Country For Old Men,Joel and Ethan Coen,2007,Peter Travers,Rolling Stone,US
The Social Network,David Fincher,2010,Peter Travers,Rolling Stone,US
Children of Men,Alfonso Cuarón,2006,Peter Travers,Rolling Stone,US
In the Mood for Love,Wong Kar-wai,2000,Peter Travers,Rolling Stone,US
Memento,Christopher Nolan,2000,Peter Travers,Rolling Stone,US
The Dark Knight,Christopher Nolan,2008,Brian Truitt,USA Today,US
The Dark Knight,Christopher Nolan,2008,Rahul Verma,Freelance film critic,UK
Pan's Labyrinth,Guillermo Del Toro,2006,Rahul Verma,Freelance film critic,UK
Mulholland Drive,David Lynch,2001,Wen Tien-Hsiang,Taipei Golden Horse Film Festival,Taiwan
A Separation,Asghar Farhadi,2011,Wen Tien-Hsiang,Taipei Golden Horse Film Festival,Taiwan
In the Mood for Love,Wong Kar-wai,2000,Wen Tien-Hsiang,Taipei Golden Horse Film Festival,Taiwan
Spirited Away,Hayao Miyazaki,2001,Wen Tien-Hsiang,Taipei Golden Horse Film Festival,Taiwan
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Wen Tien-Hsiang,Taipei Golden Horse Film Festival,Taiwan
Yi Yi: A One and a Two,Edward Yang,2000,Wen Tien-Hsiang,Taipei Golden Horse Film Festival,Taiwan
There Will Be Blood,Paul Thomas Anderson,2007,Stephen Whitty,Freelance film critic,US
Pan's Labyrinth,Guillermo Del Toro,2006,Stephen Whitty,Freelance film critic,US
Boyhood,Richard Linklater,2014,Stephen Whitty,Freelance film critic,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Stephen Whitty,Freelance film critic,US
A Separation,Asghar Farhadi,2011,Stephen Whitty,Freelance film critic,US
The Royal Tenenbaums,Wes Anderson,2001,Stephen Whitty,Freelance film critic,US
No Country For Old Men,Joel and Ethan Coen,2007,Stephen Whitty,Freelance film critic,US
No Country For Old Men,Joel and Ethan Coen,2007,Alissa Wilkinson,Christianity Today,US
There Will Be Blood,Paul Thomas Anderson,2007,Alissa Wilkinson,Christianity Today,US
The Social Network,David Fincher,2010,Alissa Wilkinson,Christianity Today,US
Yi Yi: A One and a Two,Edward Yang,2000,Alissa Wilkinson,Christianity Today,US
The Tree of Life,Terrence Malick,2011,Jake Wilson,Fairfax Media,Australia
Be Kind Rewind,Michel Gondry,2008,Jake Wilson,Fairfax Media,Australia
Mulholland Drive,David Lynch,2001,Stephanie Zacharek,Time Magazine,US
Yi Yi: A One and a Two,Edward Yang,2000,Stephanie Zacharek,Time Magazine,US
Children of Men,Alfonso Cuarón,2006,Stephanie Zacharek,Time Magazine,US
In the Mood for Love,Wong Kar-wai,2000,Chadi Zeneddine,Doha Film Institute,Qatar
The Tree of Life,Terrence Malick,2011,Chadi Zeneddine,Doha Film Institute,Qatar
Spirited Away,Hayao Miyazaki,2001,Chadi Zeneddine,Doha Film Institute,Qatar
Mulholland Drive,David Lynch,2001,Chadi Zeneddine,Doha Film Institute,Qatar
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Chadi Zeneddine,Doha Film Institute,Qatar
Amour,Michael Haneke,2012,Chadi Zeneddine,Doha Film Institute,Qatar
A Separation,Asghar Farhadi,2011,Raymond Zhou,China Daily,China
